debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.2,0.4,200,0.9625,0.977124183006536,0.9684401619885492,0.021163697552104142
0.4,0.4,200,0.9625,0.977124183006536,0.9684401619885492,0.021163697552104142
0.5,0.4,200,0.9625,0.977124183006536,0.9684401619885492,0.021163697552104142
0.1,0.4,200,0.9625,0.9660130718954247,0.962389741820482,0.023625625185904615
0.3,0.4,200,0.9625,0.9660130718954247,0.962389741820482,0.023625625185904615
0.2,0.5,200,0.9625,0.9196078431372549,0.9366177908113393,0.02809443345219768
0.5,0.6,200,0.9608333333333334,0.8830999066293185,0.9156006674082313,0.044616050819520414
0.3,0.5,200,0.9589285714285716,0.8805788982259571,0.9141582879486105,0.05557668603970463
0.2,0.6,200,0.9608333333333334,0.8706816059757235,0.9091490545050055,0.031074575113332087
0.3,0.6,200,0.9600000000000002,0.8697665732959852,0.908718946978124,0.03824109092987516
