debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.5,0.5,10,1.0,0.6143790849673203,0.7587228607918263,0.055215346807263754
0.3,0.5,10,1.0,0.25163398692810457,0.3954545454545455,0.09957556899796241
0.5,0.6,10,1.0,0.25163398692810457,0.3954545454545455,0.09957556899796241
0.2,0.6,10,1.0,0.24052287581699344,0.37987012987012986,0.1089886485597888
0.4,0.5,10,1.0,0.24052287581699344,0.3783116883116883,0.12187422753168212
0.5,0.7,10,1.0,0.24052287581699344,0.3783116883116883,0.12187422753168212
0.4,0.6,10,1.0,0.22875816993464054,0.36599284773197815,0.10202492219322852
0.3,0.7,10,1.0,0.22941176470588234,0.3627272727272727,0.12760186554289987
0.1,0.5,10,1.0,0.2176470588235294,0.35040843214756257,0.10702350040945999
0.2,0.5,10,1.0,0.21830065359477122,0.3437799043062201,0.15454693250722967
