debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.1,0.4,200,0.0,0.0,0.0,0.0
0.1,0.5,200,0.0,0.0,0.0,0.0
0.1,0.6,200,0.0,0.0,0.0,0.0
0.1,0.7,200,0.0,0.0,0.0,0.0
0.1,0.8,200,0.0,0.0,0.0,0.0
0.2,0.4,200,0.0,0.0,0.0,0.0
0.2,0.5,200,0.0,0.0,0.0,0.0
0.2,0.6,200,0.0,0.0,0.0,0.0
0.2,0.7,200,0.0,0.0,0.0,0.0
0.2,0.8,200,0.0,0.0,0.0,0.0
0.3,0.4,200,0.0,0.0,0.0,0.0
0.3,0.5,200,0.0,0.0,0.0,0.0
0.3,0.6,200,0.0,0.0,0.0,0.0
0.3,0.7,200,0.0,0.0,0.0,0.0
0.3,0.8,200,0.0,0.0,0.0,0.0
0.4,0.4,200,0.0,0.0,0.0,0.0
0.4,0.5,200,0.0,0.0,0.0,0.0
0.4,0.6,200,0.0,0.0,0.0,0.0
0.4,0.7,200,0.0,0.0,0.0,0.0
0.4,0.8,200,0.0,0.0,0.0,0.0
0.5,0.4,200,0.0,0.0,0.0,0.0
0.5,0.5,200,0.0,0.0,0.0,0.0
0.5,0.6,200,0.0,0.0,0.0,0.0
0.5,0.7,200,0.0,0.0,0.0,0.0
0.5,0.8,200,0.0,0.0,0.0,0.0
