debit_adjustment,probability_threshold,max_tokens,batch_size,precision,recall,f1,std_dev
0.1,0.4,500,50,1.0,0.5127246376811594,0.6761574373339079,0.04853902942745527
0.1,0.4,500,75,1.0,0.5047246376811594,0.6694097990073222,0.04443168887312097
0.1,0.4,500,100,1.0,0.4963913043478261,0.6617907513882747,0.047414919956282664
0.1,0.4,750,50,1.0,0.7998260869565217,0.8871865891718416,0.041874243743246255
0.1,0.4,750,75,1.0,0.8085217391304347,0.8918330538183061,0.04965654032532984
0.1,0.4,750,100,1.0,0.799463768115942,0.8873980056623278,0.036195483419515916
0.1,0.4,1000,50,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.1,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.1,0.4,1000,100,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.1,0.5,500,50,1.0,0.46266666666666667,0.6296176849118025,0.06631224745036553
0.1,0.5,500,75,1.0,0.4463333333333333,0.6144911297852473,0.06237193400232801
0.1,0.5,500,100,1.0,0.454695652173913,0.6217677570618747,0.06797165950286455
0.1,0.5,750,50,1.0,0.7584637681159421,0.8580506573529829,0.07113675118392547
0.1,0.5,750,75,1.0,0.7324057971014493,0.8431881844757625,0.051618472480818405
0.1,0.5,750,100,1.0,0.7407391304347825,0.8487630973677487,0.051318426981388235
0.1,0.5,1000,50,1.0,0.858550724637681,0.9227906976744185,0.034251676744369165
0.1,0.5,1000,75,1.0,0.8668840579710144,0.9274283788338389,0.03683743301966751
0.1,0.5,1000,100,1.0,0.874550724637681,0.9322469624498323,0.029827708147439826
0.1,0.6,500,50,1.0,0.4463333333333333,0.6135930735930736,0.0706978466757825
0.1,0.6,500,75,1.0,0.4373043478260869,0.6062003179650238,0.057865266523961664
0.1,0.6,500,100,1.0,0.4289710144927536,0.5971756171756171,0.06735826847024592
0.1,0.6,750,50,1.0,0.7244057971014494,0.837651085915408,0.05341643813110262
0.1,0.6,750,75,1.0,0.749768115942029,0.8541513695228954,0.0573357129512766
0.1,0.6,750,100,1.0,0.7831304347826087,0.87577888928995,0.053942688053228736
0.1,0.6,1000,50,1.0,0.8668840579710144,0.9274283788338389,0.03683743301966751
0.1,0.6,1000,75,1.0,0.866550724637681,0.9276216155488146,0.030642694427296183
0.1,0.6,1000,100,1.0,0.858550724637681,0.9227906976744185,0.034251676744369165
0.2,0.4,500,50,1.0,0.5127246376811594,0.6761574373339079,0.04853902942745527
0.2,0.4,500,75,1.0,0.5043913043478261,0.6685383897148603,0.052276746183699804
0.2,0.4,500,100,1.0,0.5127246376811594,0.6761574373339079,0.04853902942745527
0.2,0.4,750,50,1.0,0.7911304347826087,0.8823240098906577,0.0345391857430429
0.2,0.4,750,75,1.0,0.8259130434782609,0.9017897637750162,0.055854936465519235
0.2,0.4,750,100,1.0,0.799463768115942,0.8873980056623278,0.036195483419515916
0.2,0.4,1000,50,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.2,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.2,0.4,1000,100,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.2,0.5,500,50,1.0,0.4373043478260869,0.6062665262665263,0.05568559455113488
0.2,0.5,500,75,1.0,0.454695652173913,0.6217677570618747,0.06797165950286455
0.2,0.5,500,100,1.0,0.4376666666666667,0.6053752606693783,0.07036888820789144
0.2,0.5,750,50,1.0,0.7744347826086956,0.8709163100087661,0.04731146760509829
0.2,0.5,750,75,1.0,0.7164057971014494,0.8318438849862559,0.05757509604274851
0.2,0.5,750,100,1.0,0.741768115942029,0.8483441685937432,0.06277420430353807
0.2,0.5,1000,50,1.0,0.8668840579710144,0.9274283788338389,0.03683743301966751
0.2,0.5,1000,75,1.0,0.8828840579710144,0.9368846436092525,0.03139746809906377
0.2,0.5,1000,100,1.0,0.8498840579710144,0.9176991349286597,0.03492060123114572
0.2,0.6,500,50,1.0,0.4463623188405797,0.6126768479709657,0.0796130513564524
0.2,0.6,500,75,1.0,0.4463623188405797,0.6126768479709657,0.0796130513564524
0.2,0.6,500,100,1.0,0.446,0.6130333542098249,0.0729804909010679
0.2,0.6,750,50,1.0,0.7407391304347825,0.8487630973677487,0.051318426981388235
0.2,0.6,750,75,1.0,0.7494057971014494,0.8541312346190395,0.05541478317980757
0.2,0.6,750,100,1.0,0.757768115942029,0.8596884680832497,0.053998216869201976
0.2,0.6,1000,50,1.0,0.8748840579710144,0.932259296708235,0.032832686759155
0.2,0.6,1000,75,1.0,0.8669130434782609,0.9272175751447744,0.039313637973576954
0.2,0.6,1000,100,1.0,0.8582173913043478,0.9227731307003297,0.03126690884616638
0.3,0.4,500,50,1.0,0.5047246376811594,0.6694097990073222,0.04443168887312097
0.3,0.4,500,75,1.0,0.5127246376811594,0.6761574373339079,0.04853902942745527
0.3,0.4,500,100,1.0,0.5043913043478261,0.6685383897148603,0.052276746183699804
0.3,0.4,750,50,1.0,0.7834927536231884,0.875199219385266,0.06305319913586556
0.3,0.4,750,75,1.0,0.808159420289855,0.8922605849435119,0.042676276124148364
0.3,0.4,750,100,1.0,0.7911304347826087,0.8823240098906577,0.0345391857430429
0.3,0.4,1000,50,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.3,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.3,0.4,1000,100,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.3,0.5,500,50,1.0,0.48005797101449266,0.6446503646503647,0.07632571063957402
