debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.2,0.7,200,1.0,0.22219887955182074,0.3554753484501768,0.11273446056501019
0.3,0.4,200,1.0,0.19719887955182075,0.32638443935926775,0.07099892581856429
0.1,0.4,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.3,0.8,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.4,0.7,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.4,0.8,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.2,0.6,200,0.8,0.1688655462184874,0.27126482213438735,0.17329199206872284
0.5,0.6,200,0.8,0.15862745098039216,0.26057416267942585,0.15546620116205762
0.4,0.4,200,0.8,0.15686274509803924,0.25848970251716247,0.1520361448597675
0.2,0.5,200,0.76,0.15338935574229692,0.2537123745819398,0.13481664673896607
