debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.4,0.4,200,1.0,0.6207669552669552,0.7531997180777669,0.12903863873830662
0.5,0.4,200,1.0,0.6207669552669552,0.7531997180777669,0.12903863873830662
0.5,0.5,200,1.0,0.5730844155844156,0.7196296296296296,0.10992951975756532
0.2,0.4,200,1.0,0.16556709956709956,0.27305268000920174,0.13848032165648033
0.3,0.4,200,0.8,0.14536507936507936,0.23851851851851852,0.16433095850503168
0.1,0.4,200,0.8,0.1087936507936508,0.1853846153846154,0.1389819280746995
0.5,0.6,200,0.8,0.1087936507936508,0.1853846153846154,0.1389819280746995
0.4,0.6,200,1.0,0.10677344877344877,0.18382855131138884,0.12497539554651083
0.5,0.7,200,0.8,0.09629365079365079,0.1685425101214575,0.11498457536805212
0.5,0.8,200,0.8,0.08627344877344878,0.15160183066361554,0.11484701604298914
