debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.1,0.4,200,0.9625,0.9660130718954247,0.962389741820482,0.023625625185904615
0.1,0.5,200,0.9580952380952382,0.843062558356676,0.8943855606758833,0.026214682202514904
0.1,0.6,200,0.9589285714285716,0.8563958916900093,0.900810291858679,0.04373735877624161
0.1,0.7,200,0.9493506493506494,0.6718394024276377,0.7798328772121875,0.07114530008471295
0.1,0.8,200,0.9482517482517483,0.6820354808590102,0.789320197044335,0.05993988916235788
0.2,0.4,200,0.9625,0.977124183006536,0.9684401619885492,0.021163697552104142
0.2,0.5,200,0.9625,0.9196078431372549,0.9366177908113393,0.02809443345219768
0.2,0.6,200,0.9608333333333334,0.8706816059757235,0.9091490545050055,0.031074575113332087
0.2,0.7,200,0.9493506493506494,0.6731465919701214,0.7774217506631299,0.09877062982180773
0.2,0.8,200,0.9493506493506494,0.6842577030812326,0.7876781609195401,0.08278027813681216
0.3,0.4,200,0.9625,0.9660130718954247,0.962389741820482,0.023625625185904615
0.3,0.5,200,0.9589285714285716,0.8805788982259571,0.9141582879486105,0.05557668603970463
0.3,0.6,200,0.9600000000000002,0.8697665732959852,0.908718946978124,0.03824109092987516
0.3,0.7,200,0.9482517482517483,0.6702707749766572,0.7809458128078818,0.056854226041324646
0.3,0.8,200,0.9523809523809526,0.6978898225957051,0.7986737400530504,0.06094621462897515
0.4,0.4,200,0.9625,0.977124183006536,0.9684401619885492,0.021163697552104142
0.4,0.5,200,0.9589285714285716,0.8681605975723622,0.9081221198156681,0.04034232564625251
0.4,0.6,200,0.9600000000000002,0.8573482726423902,0.9018103448275863,0.0291512472689225
0.4,0.7,200,0.9482517482517483,0.6467413632119515,0.762264494126563,0.06670987157441131
0.4,0.8,200,0.9512820512820515,0.6956676003734829,0.7996589617279273,0.03711818399994815
0.5,0.4,200,0.9625,0.977124183006536,0.9684401619885492,0.021163697552104142
0.5,0.5,200,0.9589285714285716,0.868814192343604,0.9073034492389331,0.0543756925791171
0.5,0.6,200,0.9608333333333334,0.8830999066293185,0.9156006674082313,0.044616050819520414
0.5,0.7,200,0.9493506493506494,0.6829505135387489,0.7886998722860792,0.06491329131350768
0.5,0.8,200,0.9512820512820515,0.6845564892623716,0.7907919666540356,0.0491937628428235
