debit_adjustment,probability_threshold,batch_size,precision,recall,f1,std_dev
0.1,0.4,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.1,0.5,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.1,0.6,200,0.8,0.1438655462184874,0.24217391304347827,0.1321453058286672
0.1,0.7,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.1,0.8,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.2,0.4,200,0.8,0.1438655462184874,0.24217391304347827,0.1321453058286672
0.2,0.5,200,0.76,0.15338935574229692,0.2537123745819398,0.13481664673896607
0.2,0.6,200,0.8,0.1688655462184874,0.27126482213438735,0.17329199206872284
0.2,0.7,200,1.0,0.22219887955182074,0.3554753484501768,0.11273446056501019
0.2,0.8,200,0.6,0.14029411764705885,0.22126482213438736,0.20532071675450833
0.3,0.4,200,1.0,0.19719887955182075,0.32638443935926775,0.07099892581856429
0.3,0.5,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.3,0.6,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.3,0.7,200,0.6,0.14029411764705885,0.22126482213438736,0.20532071675450833
0.3,0.8,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.4,0.4,200,0.8,0.15686274509803924,0.25848970251716247,0.1520361448597675
0.4,0.5,200,0.6,0.1035294117647059,0.17427917620137298,0.1552469667397427
0.4,0.6,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.4,0.7,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.4,0.8,200,0.8,0.16862745098039217,0.2763844393592677,0.15059645216045686
0.5,0.4,200,0.6,0.09352941176470589,0.1584688995215311,0.14954412078161616
0.5,0.5,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
0.5,0.6,200,0.8,0.15862745098039216,0.26057416267942585,0.15546620116205762
0.5,0.7,200,0.6,0.09352941176470589,0.1584688995215311,0.14954412078161616
0.5,0.8,200,0.6,0.11529411764705884,0.19217391304347825,0.16333944152255392
